N 1, x: 608 , y: '873'
N 2, x: 469 , y: '845'
N 3, x: 462 , y: '809'
N 4, x: 432 , y: '885'
N 5, x: 388 , y: '845'
N 6, x: 399 , y: '882'
N 7, x: 367 , y: '894'
N 8, x: 326 , y: '910'
N 9, x: 296 , y: '917'
N 10, x: 474 , y: '737'
N 10, x: 463 , y: '707'
N 11, x: 458 , y: '668'
N 12, x: 357 , y: '586'
N 13, x: 360 , y: '698'
N 14, x: 382 , y: '774'
N 15, x: 324 , y: '651'
N 16, x: 257 , y: '679'
N 16, x: 330 , y: '746' //
N 16, x: 267 , y: '734' //
N 17, x: 316 , y: '787' //
N 17, x: 291 , y: '803' //
N 17, x: 300 , y: '755' //
N 17, x: 274 , y: '761' //
N 17, x: 240 , y: '765' //
N 17, x: 236 , y: '802' //
N 18, x: 220 , y: '746' //
N 19, x: 183 , y: '702' //
N 20, x: 145 , y: '672' //
N 20, x: 152 , y: '723' //
N 21, x: 188 , y: '665' //
