N 1, x: 1013 , y: 859//
N 2, x: 794 , y: 768//
N 3, x: 775 , y: 671//
N 4, x: 687 , y: 868//
N 5, x: 626 , y: 804//
N 6, x: 656 , y: 871//
N 7, x: 602 , y: 904//
N 8, x: 520 , y: 961//
N 9, x: 448 , y: 961//
N 10, x: 817 , y: 446//
N 10, x: 748 , y: 445//
N 11, x: 772 , y: 338//
N 12, x: 564 , y: 159//
N 13, x: 571 , y: 433//
N 14, x: 604 , y: 595//
N 15, x: 497 , y: 307//
N 16, x: 405 , y: 400//
N 16, x: 513 , y: 531//
N 16, x: 388 , y: 511//
N 17, x: 480 , y: 663//
N 17, x: 450 , y: 662//
N 17, x: 455 , y: 561//
N 17, x: 408 , y: 569//
N 17, x: 377 , y: 593//
N 17, x: 334 , y: 630//
N 18, x: 296 , y: 516//
N 19, x: 241 , y: 452//
N 20, x: 163 , y: 390//
N 20, x: 201 , y: 468//
N 21, x: 234 , y: 346//
