S 1, x: 403 , y: 546 //
N 1, x: 409 , y: 516 //
N 1, x: 421 , y: 491 //
N 1, x: 428 , y: 462 //
N 1, x: 469 , y: 435 //
N 1, x: 467 , y: 398 //
N 1, x: 388 , y: 498 //
S 2, x: 479 , y: 480 //
S 3, x: 521 , y: 494 //
S 4, x: 529 , y: 453 //
N 4, x: 526 , y: 422 //
S 5, x: 578 , y: 436 //
N 5, x: 578 , y: 414 //
S 6, x: 593 , y: 454 //
N 6, x: 618 , y: 456 //
S 7, x: 581 , y: 511 //
N 7, x: 576 , y: 478 //
S 8, x: 554 , y: 532 //
S 9, x: 477 , y: 549 //
S 10, x: 464 , y: 583 //
S 11, x: 448 , y: 560 //
S 12, x: 483 , y: 606 //
S 13, x: 507 , y: 606 //
S 14, x: 525 , y: 581 //
S 15, x: 737 , y: 253
S 16, x: 737 , y: 253
S 17, x: 618 , y: 589 //
N 17, x: 623 , y: 551 //
N 17, x: 662 , y: 555 //
N 17, x: 690 , y: 590 //
N 17, x: 733 , y: 598 //
N 17, x: 703 , y: 561 //
N 17, x: 751 , y: 573 //
S 18, x: 691 , y: 658 //
S 19, x: 656 , y: 661 //
S 20, x: 614 , y: 643 //
S 21, x: 574 , y: 665 //
N 21, x: 676 , y: 708 //
N 21, x: 674 , y: 732 //
N 21, x: 610 , y: 705 //
N 21, x: 571 , y: 736 //
S 22, x: 644 , y: 773
